iter	Passed	Remaining
0	167	50186
1	195	29069
2	220	21827
3	242	17942
4	266	15718
5	290	14227
6	314	13155
7	331	12082
8	353	11430
9	365	10598
10	387	10177
11	409	9836
12	431	9531
13	449	9189
14	472	8970
15	489	8696
16	510	8503
17	533	8353
18	551	8154
19	571	8006
20	586	7789
21	606	7667
22	628	7570
23	652	7500
24	674	7421
25	697	7348
26	716	7246
27	739	7185
28	762	7122
29	774	6974
30	786	6824
31	806	6751
32	828	6704
33	849	6648
34	872	6602
35	894	6558
36	916	6513
37	936	6460
38	958	6416
39	973	6325
40	995	6288
41	1018	6254
42	1026	6137
43	1047	6094
44	1070	6065
45	1093	6038
46	1115	6007
47	1138	5977
48	1161	5947
49	1169	5849
50	1193	5825
51	1206	5753
52	1228	5722
53	1250	5696
54	1264	5634
55	1286	5606
56	1310	5587
57	1334	5566
58	1356	5541
59	1381	5525
60	1403	5499
61	1417	5439
62	1428	5375
63	1451	5351
64	1473	5327
65	1486	5270
66	1508	5245
67	1532	5228
68	1554	5204
69	1577	5184
70	1600	5161
71	1623	5141
72	1633	5078
73	1655	5057
74	1672	5016
75	1696	4998
76	1718	4976
77	1740	4954
78	1761	4928
79	1784	4906
80	1806	4885
81	1828	4860
82	1849	4835
83	1864	4795
84	1873	4738
85	1891	4706
86	1913	4684
87	1934	4661
88	1957	4640
89	1979	4619
90	2000	4595
91	2011	4546
92	2032	4524
93	2053	4500
94	2075	4477
95	2096	4456
96	2112	4420
97	2134	4399
98	2157	4381
99	2180	4361
100	2203	4341
101	2227	4323
102	2251	4306
103	2274	4287
104	2300	4272
105	2324	4253
106	2348	4236
107	2372	4218
108	2397	4200
109	2422	4184
110	2445	4163
111	2469	4145
112	2475	4096
113	2499	4077
114	2525	4063
115	2543	4034
116	2563	4010
117	2588	3992
118	2611	3971
119	2629	3943
120	2635	3898
121	2660	3881
122	2685	3864
123	2711	3849
124	2735	3830
125	2760	3812
126	2784	3792
127	2811	3777
128	2837	3761
129	2861	3741
130	2877	3712
131	2901	3692
132	2924	3671
133	2948	3652
134	2964	3622
135	2979	3593
136	2989	3556
137	3013	3537
138	3038	3519
139	3045	3480
140	3069	3461
141	3093	3442
142	3118	3423
143	3127	3388
144	3150	3367
145	3167	3340
146	3193	3323
147	3219	3306
148	3243	3286
149	3253	3253
150	3276	3233
151	3301	3214
152	3330	3199
153	3354	3180
154	3378	3160
155	3388	3127
156	3401	3098
157	3427	3080
158	3453	3062
159	3478	3043
160	3487	3011
161	3516	2995
162	3538	2974
163	3548	2942
164	3572	2922
165	3600	2906
166	3626	2888
167	3639	2859
168	3665	2841
169	3681	2815
170	3707	2796
171	3732	2777
172	3756	2757
173	3781	2738
174	3806	2719
175	3817	2689
176	3840	2668
177	3865	2649
178	3890	2630
179	3916	2610
180	3940	2590
181	3961	2568
182	3986	2548
183	4010	2528
184	4036	2508
185	4061	2489
186	4088	2470
187	4112	2449
188	4137	2430
189	4162	2410
190	4187	2389
191	4243	2386
192	4262	2363
193	4290	2344
194	4316	2324
195	4345	2305
196	4372	2286
197	4402	2267
198	4430	2248
199	4456	2228
200	4483	2208
201	4510	2188
202	4538	2168
203	4561	2146
204	4583	2124
205	4607	2102
206	4629	2079
207	4650	2056
208	4672	2034
209	4697	2013
210	4721	1991
211	4744	1969
212	4768	1947
213	4793	1926
214	4818	1905
215	4843	1883
216	4869	1862
217	4894	1841
218	4919	1819
219	4943	1797
220	4967	1775
221	4990	1753
222	5025	1735
223	5049	1713
224	5073	1691
225	5096	1668
226	5118	1646
227	5140	1623
228	5165	1601
229	5188	1579
230	5212	1557
231	5235	1534
232	5257	1511
233	5280	1489
234	5307	1468
235	5333	1446
236	5356	1423
237	5379	1401
238	5402	1378
239	5425	1356
240	5448	1333
241	5470	1311
242	5493	1288
243	5522	1267
244	5549	1245
245	5571	1223
246	5594	1200
247	5619	1178
248	5641	1155
249	5664	1132
250	5688	1110
251	5712	1088
252	5735	1065
253	5759	1043
254	5782	1020
255	5806	997
256	5830	975
257	5856	953
258	5880	930
259	5905	908
260	5929	885
261	5951	863
262	5973	840
263	5996	817
264	6017	794
265	6041	772
266	6063	749
267	6083	726
268	6106	703
269	6128	680
270	6150	658
271	6172	635
272	6194	612
273	6215	589
274	6236	566
275	6261	544
276	6288	522
277	6312	499
278	6334	476
279	6360	454
280	6384	431
281	6408	409
282	6430	386
283	6452	363
284	6474	340
285	6495	317
286	6518	295
287	6540	272
288	6562	249
289	6583	227
290	6608	204
291	6631	181
292	6655	159
293	6680	136
294	6704	113
295	6728	90
296	6751	68
297	6774	45
298	6798	22
299	6824	0
